Euring	Sortering	Artnavn	Latin	English	Status	Type
2900	4440	Fjeldvåge	Buteo lagopus	Rough-legged Buzzard	A	art
2870	4450	Musvåge	Buteo buteo	Common Buzzard	A	art
2880	4470	Ørnevåge	Buteo rufinus	Long-legged Buzzard	AU	art
7350	4490	Slørugle	Tyto alba	Western Barn Owl	A	art
7500	4520	Høgeugle	Surnia ulula	Northern Hawk-Owl	AU	art
7510	4530	Spurveugle	Glaucidium passerinum	Eurasian Pygmy Owl	AU	art
7570	4540	Kirkeugle	Athene noctua	Little Owl	AS	art
7700	4550	Perleugle	Aegolius funereus	Boreal Owl	AS	art
7390	4560	Dværghornugle	Otus scops	Eurasian Scops Owl	AU	art
7670	4570	Skovhornugle	Asio otus	Long-eared Owl	A	art
7680	4580	Mosehornugle	Asio flammeus	Short-eared Owl	A	art
7610	4600	Natugle	Strix aluco	Tawny Owl	A	art
7490	4610	Sneugle	Bubo scandiacus	Snowy Owl	AU	art
7440	4620	Stor Hornugle	Bubo bubo	Eurasian Eagle-Owl	C	art
8460	4640	Hærfugl	Upupa epops	Eurasian Hoopoe	AS	art
8480	4650	Vendehals	Jynx torquilla	Eurasian Wryneck	A	art
8560	4670	Grønspætte	Picus viridis	European Green Woodpecker	A	art
8630	4680	Sortspætte	Dryocopus martius	Black Woodpecker	A	art
8500	4690	Guldspætte	Colaptes auratus	Northern Flicker	AU	art
8870	4700	Lille Flagspætte	Dryobates minor	Lesser Spotted Woodpecker	A	art
8830	4730	Mellemflagspætte	Dendrocoptes medius	Middle Spotted Woodpecker	AU	art
8760	4740	Stor Flagspætte	Dendrocopos major	Great Spotted Woodpecker	A	art
8980	4780	Tretået Spætte	Picoides tridactylus	Eurasian Three-toed Woodpecker	AU	art
8390	4800	Grøn Biæder	Merops persicus	Blue-cheeked Bee-eater	AU	art
8400	4810	Biæder	Merops apiaster	European Bee-eater	AS	art
8410	4820	Ellekrage	Coracias garrulus	European Roller	AU	art
8310	4830	Isfugl	Alcedo atthis	Common Kingfisher	A	art
3030	4840	Lille Tårnfalk	Falco naumanni	Lesser Kestrel	AU	art
3040	4850	Tårnfalk	Falco tinnunculus	Common Kestrel	A	art
3050	4860	Amerikansk Tårnfalk	Falco sparverius	American Kestrel	BU	art
3070	4870	Aftenfalk	Falco vespertinus	Red-footed Falcon	AS	art
3110	4880	Eleonorafalk	Falco eleonorae	Eleonora's Falcon	AU	art
3090	4890	Dværgfalk	Falco columbarius	Merlin	A	art
3100	4900	Lærkefalk	Falco subbuteo	Eurasian Hobby	A	art
3140	4920	Lannerfalk	Falco biarmicus	Lanner Falcon	DU	art
3160	4930	Slagfalk	Falco cherrug	Saker Falcon	AU	art
3180	4940	Jagtfalk	Falco rusticolus	Gyrfalcon	AU	art
3200	4950	Vandrefalk	Falco peregrinus	Peregrine Falcon	A	art
40010	4990	Nymfeparakit	Nymphicus hollandicus	Cockatiel	E	art
40000	5000	Undulat	Melopsittacus undulatus	Budgerigar	E	art
7135	5010	Stor Alexanderparakit	Psittacula eupatria	Alexandrine Parakeet	E	art
7120	5020	Alexanderparakit	Psittacula krameri	Rose-ringed Parakeet	E	art
7085	5030	Munkeparakit	Myiopsitta monachus	Monk Parakeet	E	art
16330	5050	Rødøjet Vireo	Vireo olivaceus	Red-eyed Vireo	AU	art
15080	5060	Pirol	Oriolus oriolus	Eurasian Golden Oriole	AS	art
15130	5070	Brun Tornskade	Lanius cristatus	Brown Shrike	AU	art
15150	5080	Rødrygget Tornskade	Lanius collurio	Red-backed Shrike	A	art
15140	5090	Turkestantornskade	Lanius phoenicuroides	Red-tailed Shrike	AU	art
15170	5100	Langhalet Tornskade	Lanius schach	Long-tailed Shrike	AU	art
15190	5110	Rosenbrystet Tornskade	Lanius minor	Lesser Grey Shrike	AU	art
15200	5120	Stor Tornskade	Lanius excubitor	Great Grey Shrike	A	art
15230	5140	Rødhovedet Tornskade	Lanius senator	Woodchat Shrike	AU	art
15470	5160	Iberisk Blåskade	Cyanopica cooki	Iberian Magpie	E	art
15390	5170	Skovskade	Garrulus glandarius	Eurasian Jay	A	art
15490	5180	Husskade	Pica pica	Eurasian Magpie	A	art
15570	5190	Nøddekrige	Nucifraga caryocatactes	Spotted Nutcracker	AS	art
15610	5220	Sibirisk Allike	Coloeus dauuricus	Daurian Jackdaw	AU	art
